version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,G35,system_prompt.md;tools.yaml,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline starter prompt/tools before routing fixes.,Starter likely guesses missing info and sends too eagerly.,base_case_accuracy,,0.6,runs/v0_B_base_gemini_20260729T102920083204.json
v1,G35,system_prompt.md,v1+p990bcc2b0508+t4f300d26f4ac,990bcc2b0508607f6907c741357eb2f88cbef67ca86c609676026a73a0950c17,4f300d26f4aca9c31edd8985eb056cb2ef03c3f573a5e2777e0b465e90c01d3b,Prompt-only routing and safety boundaries.,Clear prompt rules improve routing and no-tool boundaries.,base_case_accuracy,0.6,0.65,runs/v1_B_base_gemini_20260729T103114572425.json
v2,G35,tools.yaml,v2+p1120383bfb5b+td13f05866526,1120383bfb5bd8f22e3c9cb97e072ed445c7c6178666f75c760e24a3547f555f,d13f058665264db34e0c215c85dcbc0e2bf00ade319f8180789f036a063afa5c,Tool descriptions and argument conventions clarified.,Hypothesis was not supported by evidence; base accuracy stayed flat at 0.65.,base_case_accuracy,0.65,0.65,runs/v2_B_base_gemini_20260729T103313482534.json
v3,G35,system_prompt.md;tools.yaml;data/eval_group.json;tools/source_quality,v3+p33434091d8bc+ta5932b693f09,33434091d8bc5d4d07abbbbc1371839eb137a18ab0707dc42c22b018f0060116,a5932b693f09203911ec1fe0fabb709e5d733a08a86e265250840fecb559618f,"Final routing, policy area mapping, query normalization, multi-turn/write safety, and team-authored source_quality tool.",Combined prompt/tools plus narrow source classification routing removes remaining base failures and passes the updated group eval.,base_case_accuracy,0.65,1.0,runs/v3_B_base_gemini_20260729T141120953518.json
